"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 12:00","2020","05","06","12:00","11.4","","-7.8","","25","","34","","16","","","M","98.95","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 13:00","2020","05","06","13:00","12.7","","-9.2","","21","","1","","12","","","M","98.92","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 14:00","2020","05","06","14:00","12.8","","-6.8","","25","","33","","18","","","M","98.88","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 15:00","2020","05","06","15:00","13.8","","-8.7","","20","","36","","29","","","M","98.82","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 16:00","2020","05","06","16:00","13.8","","-8.5","","20","","34","","18","","","M","98.79","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 17:00","2020","05","06","17:00","13.8","","-7.3","","22","","33","","21","","","M","98.78","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 18:00","2020","05","06","18:00","12.8","","-6.8","","25","","33","","19","","","M","98.79","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 19:00","2020","05","06","19:00","11.1","","-7.4","","27","","33","","21","","","M","98.83","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 20:00","2020","05","06","20:00","9.5","","-8.3","","28","","33","","16","","","M","98.88","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 21:00","2020","05","06","21:00","8.6","","-7.8","","30","","33","","8","","","M","98.88","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 22:00","2020","05","06","22:00","8.4","","-6.8","","33","","32","","11","","","M","98.84","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 23:00","2020","05","06","23:00","7.8","","-7.0","","34","","26","","6","","","M","98.83","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 00:00","2020","05","07","00:00","7.1","","-6.8","","36","","29","","7","","","M","98.78","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 01:00","2020","05","07","01:00","5.9","","-6.9","","39","","26","","4","","","M","98.73","","","","","","NA"
